Tanggal,Open_interpolated
2024-09-11,36412.11630003123
2024-09-12,36402.61894781335
2024-09-13,36393.17836368006
2024-09-14,36383.794208314095
2024-09-15,36374.4661444264
2024-09-16,36365.193836743965
2024-09-17,36355.976951997814
2024-09-18,36346.81515891098
2024-09-19,36337.708128186634
2024-09-20,36328.65553249624
2024-09-21,36319.65704646778
2024-09-22,36310.712346674074
2024-09-23,36301.82111162115
2024-09-24,36292.98302173669
2024-09-25,36284.19775935852
2024-09-26,36275.46500872323
2024-09-27,36266.78445595481
2024-09-28,36258.15578905336
2024-09-29,36249.57869788389
2024-09-30,36241.05287416515
2024-10-01,36232.57801145859
2024-10-02,36224.153805157286
2024-10-03,36215.779952475066
2024-10-04,36207.45615243556
2024-10-05,36199.18210586143
2024-10-06,36190.957515363574
2024-10-07,36182.78208533047
2024-10-08,36174.65552191756
2024-10-09,36166.577533036645
2024-10-10,36158.54782834541
2024-10-11,36150.56611923701
2024-10-12,36142.632118829664
2024-10-13,36134.745541956356
2024-10-14,36126.90610515459
2024-10-15,36119.11352665618
2024-10-16,36111.36752637718
2024-10-17,36103.66782590773
2024-10-18,36096.01414850213
2024-10-19,36088.406219068835
2024-10-20,36080.843764160614
2024-10-21,36073.32651196469
2024-10-22,36065.85419229297
2024-10-23,36058.42653657237
2024-10-24,36051.0432778351
2024-10-25,36043.704150709134
2024-10-26,36036.408891408624
2024-10-27,36029.15723772445
2024-10-28,36021.948929014776
2024-10-29,36014.78370619568
2024-10-30,36007.66131173187
2024-10-31,36000.581489627395
2024-11-01,35993.54398541645
2024-11-02,35986.548546154256
2024-11-03,35979.59492040794
2024-11-04,35972.68285824749
2024-11-05,35965.81211123682
2024-11-06,35958.98243242478
2024-11-07,35952.19357633634
2024-11-08,35945.445298963714
2024-11-09,35938.737357757615
2024-11-10,35932.06951161854
2024-11-11,35925.441520888104
2024-11-12,35918.8531473404
2024-11-13,35912.30415417349
2024-11-14,35905.79430600083
2024-11-15,35899.323368842866
2024-11-16,35892.89111011858
2024-11-17,35886.49729863715
2024-11-18,35880.14170458967
2024-11-19,35873.82409954081
2024-11-20,35867.54425642071
2024-11-21,35861.301949516725
2024-11-22,35855.09695446536
2024-11-23,35848.929048244216
2024-11-24,35842.79800916393
2024-11-25,35836.70361686026
2024-11-26,35830.6456522861
2024-11-27,35824.62389770368
2024-11-28,35818.63813667668
2024-11-29,35812.68815406249
2024-11-30,35806.77373600446
2024-12-01,35800.89466992421
2024-12-02,35795.05074451399
2024-12-03,35789.2417497291
2024-12-04,35783.46747678034
2024-12-05,35777.72771812646
2024-12-06,35772.022267466775
2024-12-07,35766.35091973369
2024-12-08,35760.713471085364
2024-12-09,35755.10971889836
2024-12-10,35749.539461760374
2024-12-11,35744.00249946301
2024-12-12,35738.49863299454
2024-12-13,35733.0276645328
2024-12-14,35727.58939743806
2024-12-15,35722.18363624594
2024-12-16,35716.81018666043
2024-12-17,35711.468855546824
2024-12-18,35706.1594509249
2024-12-19,35700.881781961885
2024-12-20,35695.63565896571
2024-12-21,35690.42089337811
2024-12-22,35685.23729776792
2024-12-23,35680.084685824244
2024-12-24,35674.96287234987
2024-12-25,35669.87167325451
2024-12-26,35664.810905548264
2024-12-27,35659.78038733499
2024-12-28,35654.77993780579
2024-12-29,35649.809377232516
2024-12-30,35644.86852696129
2024-12-31,35639.957209406086
