Tanggal,Open_interpolated
2024-07-10,-477355.88535331714
2024-07-11,-482857.67614937754
2024-07-12,-489766.5321925764
2024-07-13,-496797.2867790375
2024-07-14,-504346.0572538486
2024-07-15,-512051.9301444021
2024-07-16,-518471.3076814811
2024-07-17,-525345.2551137861
2024-07-18,-531086.4615111005
2024-07-19,-537420.9095442031
2024-07-20,-541904.6017285925
2024-07-21,-546368.083685254
2024-07-22,-549943.1005120275
2024-07-23,-552012.1509043917
2024-07-24,-554145.7258597912
2024-07-25,-554063.2341063911
2024-07-26,-553994.9843856615
2024-07-27,-553128.2389133616
2024-07-28,-543517.0055826083
2024-07-29,-541650.459390248
2024-07-30,-540361.1482425489
2024-07-31,-539425.0765785556
2024-08-01,-538114.7495543256
2024-08-02,-537516.2674603654
2024-08-03,-538986.5191094624
2024-08-04,-541144.6611391511
2024-08-05,-543358.0481086052
2024-08-06,-546909.8141150773
2024-08-07,-551100.1290164685
2024-08-08,-557494.245766222
2024-08-09,-562800.7530689244
2024-08-10,-568302.5438649848
2024-08-11,-575211.3999081837
2024-08-12,-582242.1544946448
2024-08-13,-589790.9249694559
2024-08-14,-597496.7978600094
2024-08-15,-603916.1753970884
2024-08-16,-610790.1228293935
2024-08-17,-616531.3292267078
2024-08-18,-622865.7772598104
2024-08-19,-627349.4694441999
2024-08-20,-631812.9514008613
2024-08-21,-635387.9682276348
2024-08-22,-637457.018619999
2024-08-23,-639590.5935753984
2024-08-24,-639508.1018219984
2024-08-25,-639439.8521012687
2024-08-26,-638573.1066289688
2024-08-27,-628961.8732982154
2024-08-28,-627095.3271058553
2024-08-29,-625806.0159581562
2024-08-30,-624869.944294163
2024-08-31,-623559.6172699329
2024-09-01,-622961.1351759727
2024-09-02,-624431.3868250698
2024-09-03,-626589.5288547584
2024-09-04,-628802.9158242125
2024-09-05,-632354.6818306847
2024-09-06,-636544.9967320758
2024-09-07,-642939.1134818293
2024-09-08,-648245.6207845317
2024-09-09,-653747.411580592
2024-09-10,-660656.267623791
2024-09-11,-667687.0222102521
2024-09-12,-675235.7926850632
2024-09-13,-682941.6655756168
2024-09-14,-689361.0431126957
2024-09-15,-696234.9905450008
2024-09-16,-701976.1969423152
2024-09-17,-708310.6449754176
2024-09-18,-712794.3371598073
2024-09-19,-717257.8191164685
2024-09-20,-720832.8359432421
2024-09-21,-722901.8863356063
2024-09-22,-725035.4612910057
2024-09-23,-724952.9695376056
2024-09-24,-724884.7198168761
2024-09-25,-724017.9743445761
2024-09-26,-714406.7410138228
2024-09-27,-712540.1948214627
2024-09-28,-711250.8836737635
2024-09-29,-710314.8120097703
2024-09-30,-709004.4849855403
2024-10-01,-708406.00289158
2024-10-02,-709876.2545406771
2024-10-03,-712034.3965703656
2024-10-04,-714247.7835398198
2024-10-05,-717799.5495462919
2024-10-06,-721989.8644476831
2024-10-07,-728383.9811974366
2024-10-08,-733690.4885001391
2024-10-09,-739192.2792961993
2024-10-10,-746101.1353393983
2024-10-11,-753131.8899258595
2024-10-12,-760680.6604006705
2024-10-13,-768386.533291224
2024-10-14,-774805.910828303
2024-10-15,-781679.858260608
2024-10-16,-787421.0646579225
2024-10-17,-793755.5126910249
2024-10-18,-798239.2048754145
2024-10-19,-802702.6868320759
2024-10-20,-806277.7036588494
2024-10-21,-808346.7540512136
2024-10-22,-810480.3290066131
2024-10-23,-810397.8372532129
2024-10-24,-810329.5875324835
2024-10-25,-809462.8420601835
2024-10-26,-799851.60872943
2024-10-27,-797985.06253707
2024-10-28,-796695.7513893708
2024-10-29,-795759.6797253776
2024-10-30,-794449.3527011476
2024-10-31,-793850.8706071873
2024-11-01,-795321.1222562843
2024-11-02,-797479.264285973
2024-11-03,-799692.651255427
2024-11-04,-803244.4172618992
2024-11-05,-807434.7321632905
2024-11-06,-813828.8489130439
2024-11-07,-819135.3562157464
2024-11-08,-824637.1470118067
2024-11-09,-831546.0030550056
2024-11-10,-838576.7576414668
2024-11-11,-846125.5281162778
2024-11-12,-853831.4010068313
2024-11-13,-860250.7785439104
2024-11-14,-867124.7259762153
2024-11-15,-872865.9323735298
2024-11-16,-879200.3804066323
2024-11-17,-883684.0725910219
2024-11-18,-888147.5545476832
2024-11-19,-891722.5713744567
2024-11-20,-893791.6217668209
