Tanggal,Close_interpolated
2024-01-01,2281.395387766443
2024-01-02,2283.9877849028953
2024-01-03,2284.496509355832
2024-01-04,2286.6324323883173
2024-01-05,2287.49763030249
2024-01-06,2289.3551731870953
2024-01-07,2290.43776598521
2024-01-08,2292.125539093041
2024-01-09,2293.340709882796
2024-01-10,2294.9249491096184
2024-01-11,2296.220972417835
2024-01-12,2297.7420716398788
2024-01-13,2299.087402752964
2024-01-14,2300.5699961239316
2024-01-15,2301.9453975386873
2024-01-16,2303.404508165675
2024-01-17,2304.798247915405
2024-01-18,2306.2430376210423
2024-01-19,2307.6479609808785
2024-01-20,2309.0840170909646
2024-01-21,2310.495760761105
2024-01-22,2311.926490699126
2024-01-23,2313.3423937267735
2024-01-24,2314.76987550558
2024-01-25,2316.188315112078
2024-01-26,2317.613816005146
2024-01-27,2319.033802541008
2024-01-28,2320.458095393444
2024-01-29,2321.8790253221987
2024-01-30,2323.3025814526027
2024-01-31,2324.724086708305
2024-02-01,2326.1471935497207
2024-02-02,2327.5690496678253
2024-02-03,2328.9918825109266
2024-02-04,2330.413952602018
2024-02-05,2331.8366183475982
2024-02-06,2333.2588189298417
2024-02-07,2334.6813827712126
2024-02-08,2336.103662933318
2024-02-09,2337.526164628537
2024-02-10,2338.9484933223193
2024-02-11,2340.370957117788
2024-02-12,2341.7933154085517
2024-02-13,2343.2157560909054
2024-02-14,2344.63813243135
2024-02-15,2346.060559018201
2024-02-16,2347.48294636622
2024-02-17,2348.905364356946
2024-02-18,2350.327758417921
2024-02-19,2351.7501711663112
2024-02-20,2353.1725693211733
2024-02-21,2354.5949788725316
2024-02-22,2356.0173795240453
2024-02-23,2357.439787125698
2024-02-24,2358.8621892997917
2024-02-25,2360.284595712419
2024-02-26,2361.706998815057
2024-02-27,2363.1294045025584
2024-02-28,2364.5518081714667
2024-02-29,2365.974213416751
2024-03-01,2367.396617430999
2024-03-02,2368.819022406598
2024-03-03,2370.241426631451
2024-03-04,2371.6638314425827
2024-03-05,2373.086235795873
2024-03-06,2374.508640506705
2024-03-07,2375.9310449383224
2024-03-08,2377.353449587986
2024-03-09,2378.7758540673713
2024-03-10,2380.1982586797317
2024-03-11,2381.6206631882483
2024-03-12,2383.0430677778595
2024-03-13,2384.4654723041417
2024-03-14,2385.8878768798795
2024-03-15,2387.3102814169956
2024-03-16,2388.7326859842724
2024-03-17,2390.155090527996
2024-03-18,2391.5774950901127
2024-03-19,2392.999899637866
2024-03-20,2394.422304196836
2024-03-21,2395.8447087470468
2024-03-22,2397.267113304098
2024-03-23,2398.6895178558075
2024-03-24,2400.1119224116883
2024-03-25,2401.5343269643113
2024-03-26,2402.9567315194786
2024-03-27,2404.379136072659
2024-03-28,2405.801540627391
2024-03-29,2407.223945180912
2024-03-30,2408.6463497353784
2024-03-31,2410.068754289106
2024-04-01,2411.4911588434106
2024-04-02,2412.9135633972646
2024-04-03,2414.3359679514706
2024-04-04,2415.758372505402
2024-04-05,2417.1807770595474
2024-04-06,2418.603181613525
2024-04-07,2420.025586167634
2024-04-08,2421.447990721641
2024-04-09,2422.870395275728
2024-04-10,2424.292799829752
2024-04-11,2425.7152043838246
2024-04-12,2427.137608937859
2024-04-13,2428.5600134919237
2024-04-14,2429.982418045965
2024-04-15,2431.4048226000245
2024-04-16,2432.82722715407
2024-04-17,2434.2496317081263
2024-04-18,2435.672036262174
2024-04-19,2437.0944408162286
2024-04-20,2438.5168453702777
2024-04-21,2439.939249924331
2024-04-22,2441.361654478381
2024-04-23,2442.7840590324336
2024-04-24,2444.2064635864845
2024-04-25,2445.6288681405367
2024-04-26,2447.0512726945876
2024-04-27,2448.4736772486394
2024-04-28,2449.8960818026903
2024-04-29,2451.318486356742
2024-04-30,2452.7408909107935
2024-05-01,2454.1632954648453
2024-05-02,2455.5857000188967
2024-05-03,2457.008104572948
2024-05-04,2458.430509127
2024-05-05,2459.852913681051
2024-05-06,2461.275318235103
2024-05-07,2462.6977227891543
2024-05-08,2464.1201273432057
2024-05-09,2465.542531897257
2024-05-10,2466.9649364513084
2024-05-11,2468.3873410053598
2024-05-12,2469.809745559411
2024-05-13,2471.2321501134625
2024-05-14,2472.654554667514
2024-05-15,2474.076959221565
2024-05-16,2475.4993637756165
2024-05-17,2476.921768329668
2024-05-18,2478.3441728837192
2024-05-19,2479.7665774377706
2024-05-20,2481.188981991822
2024-05-21,2482.6113865458733
2024-05-22,2484.0337910999247
2024-05-23,2485.456195653976
2024-05-24,2486.8786002080274
2024-05-25,2488.3010047620787
2024-05-26,2489.72340931613
2024-05-27,2491.1458138701814
2024-05-28,2492.568218424233
2024-05-29,2493.990622978284
2024-05-30,2495.4130275323355
2024-05-31,2496.835432086387
2024-06-01,2498.257836640438
2024-06-02,2499.6802411944896
2024-06-03,2501.102645748541
2024-06-04,2502.5250503025923
2024-06-05,2503.9474548566436
2024-06-06,2505.369859410695
2024-06-07,2506.7922639647463
2024-06-08,2508.2146685187977
2024-06-09,2509.637073072849
2024-06-10,2511.0594776269004
2024-06-11,2512.4818821809517
2024-06-12,2513.904286735003
2024-06-13,2515.3266912890545
2024-06-14,2516.749095843106
2024-06-15,2518.171500397157
2024-06-16,2519.5939049512085
2024-06-17,2521.01630950526
2024-06-18,2522.438714059311
2024-06-19,2523.8611186133626
2024-06-20,2525.283523167414
2024-06-21,2526.7059277214653
2024-06-22,2528.1283322755166
2024-06-23,2529.550736829568
2024-06-24,2530.9731413836193
2024-06-25,2532.3955459376707
2024-06-26,2533.817950491722
2024-06-27,2535.2403550457734
2024-06-28,2536.6627595998248
2024-06-29,2538.085164153876
2024-06-30,2539.5075687079275
2024-07-01,2540.929973261979
2024-07-02,2542.35237781603
2024-07-03,2543.7747823700815
2024-07-04,2545.197186924133
2024-07-05,2546.6195914781842
2024-07-06,2548.0419960322356
2024-07-07,2549.464400586287
2024-07-08,2550.8868051403383
2024-07-09,2552.3092096943897
2024-07-10,2553.731614248441
2024-07-11,2555.1540188024924
2024-07-12,2556.5764233565437
2024-07-13,2557.998827910595
2024-07-14,2559.4212324646464
2024-07-15,2560.843637018698
2024-07-16,2562.266041572749
2024-07-17,2563.6884461268005
2024-07-18,2565.110850680852
2024-07-19,2566.533255234903
2024-07-20,2567.9556597889546
2024-07-21,2569.378064343006
2024-07-22,2570.8004688970573
2024-07-23,2572.2228734511086
2024-07-24,2573.64527800516
2024-07-25,2575.0676825592113
2024-07-26,2576.4900871132627
2024-07-27,2577.912491667314
2024-07-28,2579.3348962213654
2024-07-29,2580.7573007754168
2024-07-30,2582.179705329468
2024-07-31,2583.6021098835195
2024-08-01,2585.024514437571
2024-08-02,2586.446918991622
2024-08-03,2587.8693235456735
2024-08-04,2589.291728099725
2024-08-05,2590.7141326537762
2024-08-06,2592.1365372078276
2024-08-07,2593.558941761879
2024-08-08,2594.9813463159303
2024-08-09,2596.4037508699816
2024-08-10,2597.826155424033
2024-08-11,2599.2485599780844
2024-08-12,2600.6709645321357
2024-08-13,2602.093369086187
2024-08-14,2603.5157736402384
2024-08-15,2604.93817819429
2024-08-16,2606.360582748341
2024-08-17,2607.7829873023925
2024-08-18,2609.205391856444
2024-08-19,2610.627796410495
2024-08-20,2612.0502009645465
2024-08-21,2613.472605518598
2024-08-22,2614.8950100726493
2024-08-23,2616.3174146267006
2024-08-24,2617.739819180752
2024-08-25,2619.1622237348033
2024-08-26,2620.5846282888547
2024-08-27,2622.007032842906
2024-08-28,2623.4294373969574
2024-08-29,2624.8518419510087
2024-08-30,2626.27424650506
2024-08-31,2627.6966510591114
2024-09-01,2629.119055613163
2024-09-02,2630.541460167214
2024-09-03,2631.9638647212655
2024-09-04,2633.386269275317
2024-09-05,2634.808673829368
2024-09-06,2636.2310783834196
2024-09-07,2637.653482937471
2024-09-08,2639.0758874915223
2024-09-09,2640.4982920455736
2024-09-10,2641.920696599625
2024-09-11,2643.3431011536763
2024-09-12,2644.7655057077277
2024-09-13,2646.187910261779
2024-09-14,2647.6103148158304
2024-09-15,2649.0327193698818
2024-09-16,2650.455123923933
2024-09-17,2651.8775284779845
2024-09-18,2653.299933032036
2024-09-19,2654.722337586087
2024-09-20,2656.1447421401385
2024-09-21,2657.56714669419
2024-09-22,2658.9895512482412
2024-09-23,2660.4119558022926
2024-09-24,2661.834360356344
2024-09-25,2663.2567649103953
2024-09-26,2664.6791694644467
2024-09-27,2666.101574018498
2024-09-28,2667.5239785725494
2024-09-29,2668.9463831266007
2024-09-30,2670.368787680652
2024-10-01,2671.7911922347034
2024-10-02,2673.213596788755
2024-10-03,2674.636001342806
2024-10-04,2676.0584058968575
2024-10-05,2677.480810450909
2024-10-06,2678.90321500496
2024-10-07,2680.3256195590116
2024-10-08,2681.748024113063
2024-10-09,2683.1704286671143
2024-10-10,2684.5928332211656
2024-10-11,2686.015237775217
2024-10-12,2687.4376423292683
2024-10-13,2688.8600468833197
2024-10-14,2690.282451437371
2024-10-15,2691.7048559914224
2024-10-16,2693.1272605454737
2024-10-17,2694.549665099525
2024-10-18,2695.9720696535765
2024-10-19,2697.394474207628
2024-10-20,2698.816878761679
2024-10-21,2700.2392833157305
2024-10-22,2701.661687869782
2024-10-23,2703.084092423833
2024-10-24,2704.5064969778846
2024-10-25,2705.928901531936
2024-10-26,2707.3513060859873
2024-10-27,2708.7737106400386
2024-10-28,2710.19611519409
2024-10-29,2711.6185197481414
2024-10-30,2713.0409243021927
2024-10-31,2714.463328856244
2024-11-01,2715.8857334102954
2024-11-02,2717.3081379643468
2024-11-03,2718.730542518398
2024-11-04,2720.1529470724495
2024-11-05,2721.575351626501
2024-11-06,2722.997756180552
2024-11-07,2724.4201607346035
2024-11-08,2725.842565288655
2024-11-09,2727.2649698427063
2024-11-10,2728.6873743967576
2024-11-11,2730.109778950809
2024-11-12,2731.5321835048603
2024-11-13,2732.9545880589117
2024-11-14,2734.376992612963
2024-11-15,2735.7993971670144
