Tanggal,Close_interpolated
2024-01-01,309.46868908767607
2024-01-02,308.0144921089207
2024-01-03,304.6730505848768
2024-01-04,302.31756510423656
2024-01-05,299.85126356800276
2024-01-06,297.1122079942257
2024-01-07,294.63707292277815
2024-01-08,292.0466119517116
2024-01-09,289.45320130548333
2024-01-10,286.90470802269056
2024-01-11,284.3205652502141
2024-01-12,281.7490242827011
2024-01-13,279.1803157557695
2024-01-14,276.6046460920167
2024-01-15,274.0336258097857
2024-01-16,271.4613685512526
2024-01-17,268.8884093884396
2024-01-18,266.3164801973611
2024-01-19,263.7439673179833
2024-01-20,261.1715522107323
2024-01-21,258.5992722646005
2024-01-22,256.02684573880987
2024-01-23,253.45448928090227
2024-01-24,250.88212954036965
2024-01-25,248.30974666014382
2024-01-26,245.73738391506942
2024-01-27,243.16501323047274
2024-01-28,240.59264161830487
2024-01-29,238.02027369098855
2024-01-30,235.44790309180593
2024-01-31,232.87553331976517
2024-02-01,230.3031638559808
2024-02-02,227.73079383522807
2024-02-03,225.15842415639187
2024-02-04,222.58605440319005
2024-02-05,220.0136845847918
2024-02-06,217.44131484712432
2024-02-07,214.86894506745847
2024-02-08,212.29657529238747
2024-02-09,209.72420552903756
2024-02-10,207.1518357544078
2024-02-11,204.57946598468354
2024-02-12,202.00709621510455
2024-02-13,199.43472644359878
2024-02-14,196.86235667361532
2024-02-15,194.28998690309695
2024-02-16,191.717617132455
2024-02-17,189.14524736211126
2024-02-18,186.57287759156918
2024-02-19,184.00050782107942
2024-02-20,181.42813805062
2024-02-21,178.85576828011642
2024-02-22,176.28339850963775
2024-02-23,173.711028739155
2024-02-24,171.13865896866642
2024-02-25,168.56628919818414
2024-02-26,165.99391942769884
2024-02-27,163.4215496572137
2024-02-28,160.84917988672953
2024-02-29,158.27681011624452
2024-03-01,155.70444034575985
2024-03-02,153.13207057527518
2024-03-03,150.55970080479037
2024-03-04,147.98733103430567
2024-03-05,145.41496126382094
2024-03-06,142.84259149333622
2024-03-07,140.27022172285152
2024-03-08,137.69785195236676
2024-03-09,135.12548218188203
2024-03-10,132.5531124113973
2024-03-11,129.98074264091258
2024-03-12,127.40837287042785
2024-03-13,124.83600309994313
2024-03-14,122.2636333294584
2024-03-15,119.69126355897367
2024-03-16,117.11889378848895
2024-03-17,114.54652401800422
2024-03-18,111.9741542475195
2024-03-19,109.40178447703477
2024-03-20,106.82941470655004
2024-03-21,104.25704493606531
2024-03-22,101.68467516558059
2024-03-23,99.11230539509586
2024-03-24,96.53993562461113
2024-03-25,93.9675658541264
2024-03-26,91.39519608364168
2024-03-27,88.82282631315695
2024-03-28,86.25045654267223
2024-03-29,83.6780867721875
2024-03-30,81.10571700170277
2024-03-31,78.53334723121804
2024-04-01,75.96097746073332
2024-04-02,73.38860769024859
2024-04-03,70.81623791976386
2024-04-04,68.24386814927914
2024-04-05,65.67149837879441
2024-04-06,63.099128608309684
2024-04-07,60.52675883782496
2024-04-08,57.95438906734023
2024-04-09,55.3820192968555
2024-04-10,52.80964952637078
2024-04-11,50.23727975588605
2024-04-12,47.66490998540132
2024-04-13,45.092540214916596
2024-04-14,42.52017044443187
2024-04-15,39.94780067394714
2024-04-16,37.375430903462416
2024-04-17,34.80306113297769
2024-04-18,32.23069136249296
2024-04-19,29.65832159200824
2024-04-20,27.085951821523516
2024-04-21,24.513582051038792
2024-04-22,21.94121228055407
2024-04-23,19.368842510069346
2024-04-24,16.796472739584623
2024-04-25,14.224102969099897
2024-04-26,11.651733198615172
2024-04-27,9.079363428130447
2024-04-28,6.506993657645722
2024-04-29,3.9346238871609978
2024-04-30,1.3622541166762732
2024-05-01,-1.2101156538084514
2024-05-02,-3.782485424293176
2024-05-03,-6.354855194777901
2024-05-04,-8.927224965262626
2024-05-05,-11.499594735747351
2024-05-06,-14.071964506232076
2024-05-07,-16.6443342767168
2024-05-08,-19.216704047201524
2024-05-09,-21.789073817686248
2024-05-10,-24.36144358817097
2024-05-11,-26.933813358655694
2024-05-12,-29.506183129140418
2024-05-13,-32.078552899625144
2024-05-14,-34.65092267010987
2024-05-15,-37.2232924405946
2024-05-16,-39.795662211079325
