Tanggal,Close_interpolated
2024-04-23,-222.16793818504726
2024-04-24,-230.91348239329923
2024-04-25,-236.16583748471064
2024-04-26,-238.35730894166446
2024-04-27,-237.49047186031683
2024-04-28,-240.54751050171848
2024-04-29,-242.01391091160355
2024-04-30,-245.30182821483655
2024-05-01,-250.1710861431337
2024-05-02,-253.56688464191612
2024-05-03,-256.82116049532425
2024-05-04,-258.8847520285335
2024-05-05,-259.7388969406451
2024-05-06,-261.7031519211441
2024-05-07,-267.3253216410302
2024-05-08,-268.5002858111693
2024-05-09,-275.11891413888605
2024-05-10,-279.3266623610505
2024-05-11,-282.7245919673211
2024-05-12,-283.2986650106153
2024-05-13,-286.0697522226572
2024-05-14,-290.70274751332005
2024-05-15,-294.0645869603757
2024-05-16,-294.6138735590227
2024-05-17,-296.38528184861644
2024-05-18,-296.5115844023834
2024-05-19,-297.46234445762025
2024-05-20,-299.47148053197895
2024-05-21,-302.0377426177474
2024-05-22,-305.85098301460687
2024-05-23,-308.2008428986484
2024-05-24,-316.9463871069004
2024-05-25,-322.1987421983118
2024-05-26,-324.39021365526565
2024-05-27,-323.5233765739179
2024-05-28,-326.58041521531965
2024-05-29,-328.0468156252047
2024-05-30,-331.33473292843775
2024-05-31,-336.2039908567348
2024-06-01,-339.59978935551726
2024-06-02,-342.85406520892536
2024-06-03,-344.9176567421347
2024-06-04,-345.77180165424613
2024-06-05,-347.7360566347453
2024-06-06,-353.35822635463137
2024-06-07,-354.5331905247705
2024-06-08,-361.1518188524871
2024-06-09,-365.3595670746516
2024-06-10,-368.75749668092226
2024-06-11,-369.3315697242165
2024-06-12,-372.10265693625837
2024-06-13,-376.7356522269211
2024-06-14,-380.0974916739769
2024-06-15,-380.64677827262386
2024-06-16,-382.4181865622176
2024-06-17,-382.54448911598445
2024-06-18,-383.4952491712214
2024-06-19,-385.5043852455801
2024-06-20,-388.0706473313486
2024-06-21,-391.8838877282079
2024-06-22,-394.23374761224954
2024-06-23,-402.97929182050154
2024-06-24,-408.23164691191295
2024-06-25,-410.4231183688667
2024-06-26,-409.5562812875191
2024-06-27,-412.6133199289208
2024-06-28,-414.07972033880577
2024-06-29,-417.3676376420388
2024-06-30,-422.23689557033595
2024-07-01,-425.63269406911843
2024-07-02,-428.8869699225264
2024-07-03,-430.95056145573574
2024-07-04,-431.8047063678473
2024-07-05,-433.76896134834647
2024-07-06,-439.3911310682324
2024-07-07,-440.56609523837153
2024-07-08,-447.1847235660883
2024-07-09,-451.39247178825275
2024-07-10,-454.7904013945234
2024-07-11,-455.36447443781753
2024-07-12,-458.1355616498594
2024-07-13,-462.7685569405223
2024-07-14,-466.13039638757806
2024-07-15,-466.6796829862249
2024-07-16,-468.45109127581867
2024-07-17,-468.5773938295856
2024-07-18,-469.5281538848226
2024-07-19,-471.5372899591812
2024-07-20,-474.10355204494965
2024-07-21,-477.9167924418091
2024-07-22,-480.2666523258507
2024-07-23,-489.0121965341026
2024-07-24,-494.264551625514
2024-07-25,-496.4560230824679
2024-07-26,-495.58918600112025
2024-07-27,-498.6462246425219
2024-07-28,-500.11262505240694
2024-07-29,-503.40054235563997
2024-07-30,-508.2698002839371
2024-07-31,-511.6655987827195
2024-08-01,-514.9198746361276
2024-08-02,-516.9834661693369
2024-08-03,-517.8376110814485
2024-08-04,-519.8018660619475
2024-08-05,-525.4240357818336
2024-08-06,-526.5989999519727
2024-08-07,-533.2176282796894
2024-08-08,-537.4253765018539
2024-08-09,-540.8233061081245
2024-08-10,-541.3973791514187
2024-08-11,-544.1684663634605
2024-08-12,-548.8014616541235
2024-08-13,-552.1633011011791
2024-08-14,-552.712587699826
2024-08-15,-554.4839959894199
2024-08-16,-554.6102985431868
2024-08-17,-555.5610585984236
2024-08-18,-557.5701946727823
2024-08-19,-560.1364567585508
2024-08-20,-563.9496971554103
2024-08-21,-566.2995570394518
2024-08-22,-575.0451012477038
2024-08-23,-580.2974563391151
2024-08-24,-582.4889277960691
2024-08-25,-581.6220907147214
2024-08-26,-584.679129356123
2024-08-27,-586.145529766008
2024-08-28,-589.4334470692411
2024-08-29,-594.3027049975382
2024-08-30,-597.6985034963207
2024-08-31,-600.9527793497288
2024-09-01,-603.0163708829381
2024-09-02,-603.8705157950495
2024-09-03,-605.8347707755487
2024-09-04,-611.4569404954348
2024-09-05,-612.6319046655739
2024-09-06,-619.2505329932904
2024-09-07,-623.458281215455
2024-09-08,-626.8562108217257
2024-09-09,-627.4302838650199
2024-09-10,-630.2013710770616
2024-09-11,-634.8343663677246
2024-09-12,-638.1962058147803
2024-09-13,-638.7454924134272
2024-09-14,-640.5169007030211
2024-09-15,-640.6432032567878
2024-09-16,-641.5939633120248
2024-09-17,-643.6030993863835
2024-09-18,-646.169361472152
2024-09-19,-649.9826018690113
2024-09-20,-652.3324617530529
2024-09-21,-661.0780059613049
2024-09-22,-666.3303610527163
2024-09-23,-668.5218325096702
2024-09-24,-667.6549954283225
2024-09-25,-670.7120340697242
2024-09-26,-672.1784344796092
2024-09-27,-675.4663517828421
2024-09-28,-680.3356097111393
2024-09-29,-683.7314082099218
2024-09-30,-686.9856840633299
2024-10-01,-689.0492755965391
2024-10-02,-689.9034205086507
2024-10-03,-691.8676754891499
2024-10-04,-697.4898452090359
2024-10-05,-698.6648093791749
2024-10-06,-705.2834377068916
2024-10-07,-709.4911859290562
2024-10-08,-712.8891155353268
2024-10-09,-713.4631885786209
2024-10-10,-716.2342757906628
2024-10-11,-720.8672710813257
2024-10-12,-724.2291105283814
2024-10-13,-724.7783971270283
2024-10-14,-726.5498054166221
2024-10-15,-726.676107970389
2024-10-16,-727.626868025626
2024-10-17,-729.6360040999847
2024-10-18,-732.202266185753
2024-10-19,-736.0155065826125
2024-10-20,-738.3653664666541
2024-10-21,-747.1109106749061
2024-10-22,-752.3632657663173
2024-10-23,-754.5547372232713
2024-10-24,-753.6879001419237
2024-10-25,-756.7449387833253
2024-10-26,-758.2113391932103
2024-10-27,-761.4992564964433
2024-10-28,-766.3685144247405
2024-10-29,-769.764312923523
2024-10-30,-773.018588776931
2024-10-31,-775.0821803101403
2024-11-01,-775.9363252222519
2024-11-02,-777.900580202751
2024-11-03,-783.522749922637
2024-11-04,-784.6977140927761
2024-11-05,-791.3163424204928
2024-11-06,-795.5240906426574
2024-11-07,-798.9220202489279
2024-11-08,-799.4960932922221
2024-11-09,-802.2671805042639
2024-11-10,-806.9001757949269
2024-11-11,-810.2620152419825
2024-11-12,-810.8113018406294
2024-11-13,-812.5827101302233
2024-11-14,-812.7090126839902
2024-11-15,-813.659772739227
2024-11-16,-815.6689088135857
2024-11-17,-818.2351708993542
2024-11-18,-822.0484112962137
2024-11-19,-824.3982711802553
2024-11-20,-833.1438153885072
2024-11-21,-838.3961704799185
2024-11-22,-840.5876419368725
2024-11-23,-839.7208048555249
2024-11-24,-842.7778434969264
2024-11-25,-844.2442439068114
2024-11-26,-847.5321612100445
2024-11-27,-852.4014191383417
2024-11-28,-855.797217637124
2024-11-29,-859.0514934905322
2024-11-30,-861.1150850237415
2024-12-01,-861.969229935853
2024-12-02,-863.9334849163521
2024-12-03,-869.5556546362382
2024-12-04,-870.7306188063773
2024-12-05,-877.349247134094
2024-12-06,-881.5569953562584
2024-12-07,-884.954924962529
2024-12-08,-885.5289980058233
2024-12-09,-888.3000852178651
2024-12-10,-892.933080508528
2024-12-11,-896.2949199555837
2024-12-12,-896.8442065542306
2024-12-13,-898.6156148438245
2024-12-14,-898.7419173975912
2024-12-15,-899.6926774528282
2024-12-16,-901.7018135271869
2024-12-17,-904.2680756129554
2024-12-18,-908.0813160098148
2024-12-19,-910.4311758938563
2024-12-20,-919.1767201021083
2024-12-21,-924.4290751935197
2024-12-22,-926.6205466504737
2024-12-23,-925.753709569126
2024-12-24,-928.8107482105277
2024-12-25,-930.2771486204125
2024-12-26,-933.5650659236455
2024-12-27,-938.4343238519427
2024-12-28,-941.8301223507252
2024-12-29,-945.0843982041333
2024-12-30,-947.1479897373426
2024-12-31,-948.0021346494542
