Tanggal,Low_interpolated
2024-07-04,36333.55236247209
2024-07-05,36318.02700815188
2024-07-06,36302.60291732266
2024-07-07,36287.27942949737
2024-07-08,36272.05588849706
2024-07-09,36256.93164242259
2024-07-10,36241.90604362691
2024-07-11,36226.9784486871
2024-07-12,36212.14821837706
2024-07-13,36197.41471763991
2024-07-14,36182.777315561
2024-07-15,36168.23538534071
2024-07-16,36153.78830426776
2024-07-17,36139.43545369243
2024-07-18,36125.17621900015
2024-07-19,36111.00998958513
2024-07-20,36096.93615882425
2024-07-21,36082.95412405104
2024-07-22,36069.06328652992
2024-07-23,36055.26305143052
2024-07-24,36041.552827802254
2024-07-25,36027.93202854895
2024-07-26,36014.400070403775
2024-07-27,36000.95637390422
2024-07-28,35987.6003633673
2024-07-29,35974.331466864896
2024-07-30,35961.14911619926
2024-07-31,35948.052746878704
2024-08-01,35935.041798093414
2024-08-02,35922.11571269142
2024-08-03,35909.273937154765
2024-08-04,35896.51592157579
2024-08-05,35883.84111963359
2024-08-06,35871.24898857059
2024-08-07,35858.73898916937
2024-08-08,35846.310585729494
2024-08-09,35833.963246044645
2024-08-10,35821.696441379776
2024-08-11,35809.5096464485
2024-08-12,35797.4023393906
2024-08-13,35785.37400174965
2024-08-14,35773.42411845085
2024-08-15,35761.55217777894
2024-08-16,35749.75767135633
2024-08-17,35738.04009412127
2024-08-18,35726.398944306275
2024-08-19,35714.83372341661
2024-08-20,35703.343936208956
2024-08-21,35691.92909067019
2024-08-22,35680.58869799634
2024-08-23,35669.32227257162
2024-08-24,35658.12933194766
2024-08-25,35647.00939682285
2024-08-26,35635.96199102179
2024-08-27,35624.98664147492
2024-08-28,35614.08287819826
2024-08-29,35603.250234273284
2024-08-30,35592.48824582691
2024-08-31,35581.796452011666
2024-09-01,35571.17439498592
2024-09-02,35560.62161989432
2024-09-03,35550.137674848265
2024-09-04,35539.72211090659
2024-09-05,35529.374482056315
2024-09-06,35519.09434519359
2024-09-07,35508.881260104674
2024-09-08,35498.734789447095
2024-09-09,35488.654498730946
2024-09-10,35478.63995630026
2024-09-11,35468.69073331451
2024-09-12,35458.8064037303
2024-09-13,35448.98654428304
2024-09-14,35439.2307344689
2024-09-15,35429.538556526764
2024-09-16,35419.90959542032
2024-09-17,35410.34343882035
2024-09-18,35400.83967708702
2024-09-19,35391.39790325234
2024-09-20,35382.01771300279
2024-09-21,35372.69870466192
2024-09-22,35363.44047917323
2024-09-23,35354.24264008306
2024-09-24,35345.10479352357
2024-09-25,35336.02654819592
2024-09-26,35327.00751535352
2024-09-27,35318.04730878534
2024-09-28,35309.1455447994
2024-09-29,35300.30184220634
2024-09-30,35291.515822303096
2024-10-01,35282.78710885667
2024-10-02,35274.115328088024
2024-10-03,35265.5001086561
2024-10-04,35256.94108164188
2024-10-05,35248.43788053261
2024-10-06,35239.9901412061
2024-10-07,35231.59750191513
2024-10-08,35223.25960327196
2024-10-09,35214.97608823295
2024-10-10,35206.74660208326
2024-10-11,35198.570792421655
2024-10-12,35190.448309145424
2024-10-13,35182.37880443541
2024-10-14,35174.361932741056
2024-10-15,35166.39735076566
2024-10-16,35158.484717451676
2024-10-17,35150.623693966074
2024-10-18,35142.81394368584
2024-10-19,35135.05513218359
2024-10-20,35127.34692721322
2024-10-21,35119.68899869568
2024-10-22,35112.08101870486
2024-10-23,35104.522661453535
2024-10-24,35097.0136032794
2024-10-25,35089.55352263124
2024-10-26,35082.14210005514
2024-10-27,35074.779018180794
2024-10-28,35067.46396170796
2024-10-29,35060.196617392896
2024-10-30,35052.97667403502
2024-10-31,35045.803822463495
2024-11-01,35038.67775552408
2024-11-02,35031.59816806591
2024-11-03,35024.56475692847
2024-11-04,35017.577220928586
2024-11-05,35010.63526084754
2024-11-06,35003.73857941827
2024-11-07,34996.886881312596
2024-11-08,34990.079873128634
2024-11-09,34983.317263378194
2024-11-10,34976.59876247429
2024-11-11,34969.92408271878
2024-11-12,34963.29293829001
2024-11-13,34956.70504523057
2024-11-14,34950.16012143518
2024-11-15,34943.65788663857
2024-11-16,34937.19806240346
2024-11-17,34930.78037210872
2024-11-18,34924.40454093742
2024-11-19,34918.070295865145
2024-11-20,34911.77736564825
2024-11-21,34905.52548081229
2024-11-22,34899.31437364042
2024-11-23,34893.143778162
2024-11-24,34887.01343014115
2024-11-25,34880.92306706549
2024-11-26,34874.87242813482
2024-11-27,34868.86125425003
2024-11-28,34862.88928800197
2024-11-29,34856.95627366043
2024-11-30,34851.06195716317
2024-12-01,34845.2060861051
2024-12-02,34839.3884097274
2024-12-03,34833.608678906814
2024-12-04,34827.866646145005
2024-12-05,34822.16206555792
2024-12-06,34816.49469286527
2024-12-07,34810.86428538008
2024-12-08,34805.270601998294
2024-12-09,34799.71340318844
2024-12-10,34794.19245098138
2024-12-11,34788.70750896014
2024-12-12,34783.25834224974
2024-12-13,34777.84471750717
2024-12-14,34772.46640291139
2024-12-15,34767.12316815343
2024-12-16,34761.814784426446
2024-12-17,34756.54102441602
2024-12-18,34751.30166229038
2024-12-19,34746.09647369072
2024-12-20,34740.9252357216
2024-12-21,34735.78772694143
2024-12-22,34730.683727352945
2024-12-23,34725.6130183938
2024-12-24,34720.57538292723
2024-12-25,34715.570605232715
2024-12-26,34710.59847099679
2024-12-27,34705.65876730382
2024-12-28,34700.751282626916
2024-12-29,34695.87580681885
2024-12-30,34691.03213110308
2024-12-31,34686.22004806481
