Tanggal,Low_interpolated
2024-04-25,91616.16316740021
2024-04-26,92297.47902871862
2024-04-27,92327.73813050843
2024-04-28,92456.35871651227
2024-04-29,92682.61985234306
2024-04-30,93308.70029565471
2024-05-01,93716.51765777313
2024-05-02,94330.31298857633
2024-05-03,94799.08737591359
2024-05-04,95279.12061220701
2024-05-05,94665.57163090726
2024-05-06,94924.0705286618
2024-05-07,95514.73676198705
2024-05-08,95986.53769339234
2024-05-09,95863.59470072205
2024-05-10,97090.73061404031
2024-05-11,97463.56376321412
2024-05-12,97561.83900988646
2024-05-13,97531.28382018382
2024-05-14,98046.44693562678
2024-05-15,98551.6026203106
2024-05-16,99249.24685075477
2024-05-17,100495.87587356365
2024-05-18,101057.00556687075
2024-05-19,101354.00313031729
2024-05-20,101689.22049405363
2024-05-21,102693.633120248
2024-05-22,103054.4164349453
2024-05-23,103491.00038943166
2024-05-24,103540.64168492408
2024-05-25,104358.56893666899
2024-05-26,105039.88479798737
2024-05-27,105070.14389977718
2024-05-28,105198.76448578105
2024-05-29,105425.02562161183
2024-05-30,106051.10606492346
2024-05-31,106458.9234270419
2024-06-01,107072.71875784511
2024-06-02,107541.49314518234
2024-06-03,108021.52638147576
2024-06-04,107407.97740017604
2024-06-05,107666.47629793057
2024-06-06,108257.1425312558
2024-06-07,108728.94346266109
2024-06-08,108606.00046999083
2024-06-09,109833.13638330907
2024-06-10,110205.96953248286
2024-06-11,110304.24477915524
2024-06-12,110273.68958945258
2024-06-13,110788.85270489553
2024-06-14,111294.00838957935
2024-06-15,111991.65262002355
2024-06-16,113238.28164283241
2024-06-17,113799.4113361395
2024-06-18,114096.40889958607
2024-06-19,114431.6262633224
2024-06-20,115436.03888951676
2024-06-21,115796.82220421406
2024-06-22,116233.40615870044
2024-06-23,116283.04745419284
2024-06-24,117100.97470593774
2024-06-25,117782.29056725615
2024-06-26,117812.54966904595
2024-06-27,117941.1702550498
2024-06-28,118167.43139088058
2024-06-29,118793.51183419224
2024-06-30,119201.32919631066
2024-07-01,119815.12452711386
2024-07-02,120283.89891445111
2024-07-03,120763.93215074454
2024-07-04,120150.38316944479
2024-07-05,120408.88206719932
2024-07-06,120999.54830052458
2024-07-07,121471.34923192987
2024-07-08,121348.40623925958
2024-07-09,122575.54215257782
2024-07-10,122948.37530175164
2024-07-11,123046.65054842399
2024-07-12,123016.09535872133
2024-07-13,123531.25847416431
2024-07-14,124036.41415884813
2024-07-15,124734.0583892923
2024-07-16,125980.68741210116
2024-07-17,126541.81710540828
2024-07-18,126838.81466885481
2024-07-19,127174.03203259115
2024-07-20,128178.44465878553
2024-07-21,128539.22797348283
2024-07-22,128975.81192796919
2024-07-23,129025.45322346159
2024-07-24,129843.38047520652
2024-07-25,130524.6963365249
2024-07-26,130554.9554383147
2024-07-27,130683.57602431858
2024-07-28,130909.83716014936
2024-07-29,131535.91760346098
2024-07-30,131943.7349655794
2024-07-31,132557.53029638264
2024-08-01,133026.30468371985
2024-08-02,133506.3379200133
2024-08-03,132892.78893871355
2024-08-04,133151.2878364681
2024-08-05,133741.9540697933
2024-08-06,134213.75500119862
2024-08-07,134090.81200852836
2024-08-08,135317.94792184661
2024-08-09,135690.7810710204
2024-08-10,135789.05631769274
2024-08-11,135758.5011279901
2024-08-12,136273.66424343304
2024-08-13,136778.81992811686
2024-08-14,137476.46415856108
2024-08-15,138723.09318136994
2024-08-16,139284.222874677
2024-08-17,139581.22043812356
2024-08-18,139916.43780185992
2024-08-19,140920.85042805428
2024-08-20,141281.63374275158
2024-08-21,141718.21769723797
2024-08-22,141767.85899273035
2024-08-23,142585.78624447528
2024-08-24,143267.10210579363
2024-08-25,143297.36120758348
2024-08-26,143425.98179358733
2024-08-27,143652.2429294181
2024-08-28,144278.32337272976
2024-08-29,144686.1407348482
2024-08-30,145299.9360656514
2024-08-31,145768.7104529886
2024-09-01,146248.74368928207
2024-09-02,145635.1947079823
2024-09-03,145893.69360573686
2024-09-04,146484.3598390621
2024-09-05,146956.1607704674
2024-09-06,146833.2177777971
2024-09-07,148060.35369111536
2024-09-08,148433.18684028919
2024-09-09,148531.46208696152
2024-09-10,148500.90689725886
2024-09-11,149016.0700127018
2024-09-12,149521.22569738564
2024-09-13,150218.86992782983
2024-09-14,151465.4989506387
2024-09-15,152026.6286439458
2024-09-16,152323.62620739234
2024-09-17,152658.84357112867
2024-09-18,153663.25619732303
2024-09-19,154024.03951202036
2024-09-20,154460.62346650672
2024-09-21,154510.2647619991
2024-09-22,155328.19201374406
2024-09-23,156009.5078750624
2024-09-24,156039.76697685223
2024-09-25,156168.38756285608
2024-09-26,156394.64869868688
2024-09-27,157020.7291419985
2024-09-28,157428.54650411694
2024-09-29,158042.34183492017
2024-09-30,158511.11622225738
2024-10-01,158991.14945855082
2024-10-02,158377.60047725105
2024-10-03,158636.09937500564
2024-10-04,159226.76560833084
2024-10-05,159698.56653973614
2024-10-06,159575.6235470659
2024-10-07,160802.75946038414
2024-10-08,161175.59260955793
2024-10-09,161273.86785623027
2024-10-10,161243.31266652764
2024-10-11,161758.47578197057
2024-10-12,162263.6314666544
2024-10-13,162961.27569709858
2024-10-14,164207.90471990747
2024-10-15,164769.03441321454
2024-10-16,165066.0319766611
2024-10-17,165401.24934039745
2024-10-18,166405.6619665918
2024-10-19,166766.4452812891
2024-10-20,167203.02923577547
2024-10-21,167252.67053126788
2024-10-22,168070.5977830128
2024-10-23,168751.91364433116
2024-10-24,168782.172746121
2024-10-25,168910.79333212486
2024-10-26,169137.05446795563
2024-10-27,169763.13491126726
2024-10-28,170170.95227338572
2024-10-29,170784.74760418892
2024-10-30,171253.52199152613
2024-10-31,171733.5552278196
2024-11-01,171120.00624651983
2024-11-02,171378.5051442744
2024-11-03,171969.1713775996
2024-11-04,172440.97230900492
2024-11-05,172318.02931633464
2024-11-06,173545.1652296529
2024-11-07,173917.9983788267
2024-11-08,174016.27362549905
2024-11-09,173985.71843579639
2024-11-10,174500.88155123935
2024-11-11,175006.03723592317
2024-11-12,175703.68146636736
2024-11-13,176950.31048917622
2024-11-14,177511.44018248332
2024-11-15,177808.43774592987
2024-11-16,178143.6551096662
2024-11-17,179148.0677358606
2024-11-18,179508.8510505579
2024-11-19,179945.43500504424
2024-11-20,179995.07630053663
2024-11-21,180813.0035522816
2024-11-22,181494.31941359994
2024-11-23,181524.57851538976
2024-11-24,181653.19910139363
2024-11-25,181879.4602372244
2024-11-26,182505.54068053604
2024-11-27,182913.35804265446
2024-11-28,183527.1533734577
2024-11-29,183995.9277607949
2024-11-30,184475.96099708835
2024-12-01,183862.41201578858
2024-12-02,184120.91091354316
2024-12-03,184711.57714686837
2024-12-04,185183.37807827367
2024-12-05,185060.4350856034
2024-12-06,186287.57099892167
2024-12-07,186660.40414809546
2024-12-08,186758.6793947678
2024-12-09,186728.12420506516
2024-12-10,187243.2873205081
2024-12-11,187748.44300519192
2024-12-12,188446.08723563614
2024-12-13,189692.716258445
2024-12-14,190253.84595175207
2024-12-15,190550.84351519862
2024-12-16,190886.06087893498
2024-12-17,191890.47350512934
2024-12-18,192251.25681982664
2024-12-19,192687.84077431302
2024-12-20,192737.4820698054
2024-12-21,193555.40932155034
2024-12-22,194236.7251828687
2024-12-23,194266.98428465854
2024-12-24,194395.60487066238
2024-12-25,194621.86600649316
2024-12-26,195247.94644980482
2024-12-27,195655.76381192324
2024-12-28,196269.55914272644
2024-12-29,196738.33353006365
2024-12-30,197218.36676635713
2024-12-31,196604.81778505736
