Tanggal,Close_interpolated
2024-01-01,42158.33072202125
2024-01-02,42173.0146874746
2024-01-03,42177.176209410754
2024-01-04,42150.157548576484
2024-01-05,42146.32981811688
2024-01-06,42137.416446504656
2024-01-07,42124.518997445615
2024-01-08,42115.75136014669
2024-01-09,42105.588999572035
2024-01-10,42095.02945576015
2024-01-11,42085.15843591806
2024-01-12,42074.971616841496
2024-01-13,42064.77175066863
2024-01-14,42054.67868901071
2024-01-15,42044.521496787806
2024-01-16,42034.371950401524
2024-01-17,42024.23751921991
2024-01-18,42014.0910522298
2024-01-19,42003.94755731759
2024-01-20,41993.80591765527
2024-01-21,41983.662166579954
2024-01-22,41973.519185216814
2024-01-23,41963.37637074857
2024-01-24,41953.233209697406
2024-01-25,41943.09021791163
2024-01-26,41932.947226115626
2024-01-27,41922.80418154533
2024-01-28,41912.661170676714
2024-01-29,41902.518154744466
2024-01-30,41892.3751315366
2024-01-31,41882.232114553466
2024-02-01,41872.08909586429
2024-02-02,41861.946076323475
2024-02-03,41851.803057858444
2024-02-04,41841.66003897204
2024-02-05,41831.517020019244
2024-02-06,41821.37400124024
2024-02-07,41811.23098237097
2024-02-08,41801.087963505146
2024-02-09,41790.944944665265
2024-02-10,41780.80192580774
2024-02-11,41770.658906953395
2024-02-12,41760.51588810252
2024-02-13,41750.37286924844
2024-02-14,41740.22985039532
2024-02-15,41730.08683154259
2024-02-16,41719.943812689315
2024-02-17,41709.800793836264
2024-02-18,41699.657774983236
2024-02-19,41689.51475613013
2024-02-20,41679.37173727707
2024-02-21,41669.228718424005
2024-02-22,41659.085699570925
2024-02-23,41648.94268071785
2024-02-24,41638.79966186478
2024-02-25,41628.65664301171
2024-02-26,41618.51362415864
2024-02-27,41608.370605305565
2024-02-28,41598.22758645249
2024-02-29,41588.08456759942
2024-03-01,41577.94154874635
2024-03-02,41567.798529893276
2024-03-03,41557.655511040204
2024-03-04,41547.51249218713
2024-03-05,41537.36947333406
2024-03-06,41527.22645448099
2024-03-07,41517.083435627916
2024-03-08,41506.94041677484
2024-03-09,41496.79739792177
2024-03-10,41486.6543790687
2024-03-11,41476.51136021563
