Date,Close,year,month,day,Year
2021-03-31,58918.832031,2021,3,31,2021
2021-04-01,59095.808594,2021,4,1,2021
2021-04-02,59384.3125,2021,4,2,2021
2021-04-03,57603.890625,2021,4,3,2021
2021-04-04,58758.554688,2021,4,4,2021
2021-04-05,59057.878906,2021,4,5,2021
2021-04-06,58192.359375,2021,4,6,2021
2021-04-07,56048.9375,2021,4,7,2021
2021-04-08,58323.953125,2021,4,8,2021
2021-04-09,58245.003906,2021,4,9,2021
2021-04-10,59793.234375,2021,4,10,2021
2021-04-11,60204.964844,2021,4,11,2021
2021-04-12,59893.453125,2021,4,12,2021
2021-04-13,63503.457031,2021,4,13,2021
2021-04-14,63109.695313,2021,4,14,2021
2021-04-15,63314.011719,2021,4,15,2021
2021-04-16,61572.789063,2021,4,16,2021
2021-04-17,60683.820313,2021,4,17,2021
2021-04-18,56216.183594,2021,4,18,2021
2021-04-19,55724.265625,2021,4,19,2021
2021-04-20,56473.03125,2021,4,20,2021
2021-04-21,53906.089844,2021,4,21,2021
2021-04-22,51762.273438,2021,4,22,2021
2021-04-23,51093.652344,2021,4,23,2021
2021-04-24,50050.867188,2021,4,24,2021
2021-04-25,49004.253906,2021,4,25,2021
2021-04-26,54021.753906,2021,4,26,2021
2021-04-27,55033.117188,2021,4,27,2021
2021-04-28,54824.703125,2021,4,28,2021
2021-04-29,53555.109375,2021,4,29,2021
2021-04-30,57750.175781,2021,4,30,2021
2021-05-01,57828.050781,2021,5,1,2021
2021-05-02,56631.078125,2021,5,2,2021
2021-05-03,57200.292969,2021,5,3,2021
2021-05-04,53333.539063,2021,5,4,2021
2021-05-05,57424.007813,2021,5,5,2021
2021-05-06,56396.515625,2021,5,6,2021
2021-05-07,57356.402344,2021,5,7,2021
2021-05-08,58803.777344,2021,5,8,2021
2021-05-09,58232.316406,2021,5,9,2021
2021-05-10,55859.796875,2021,5,10,2021
2021-05-11,56704.574219,2021,5,11,2021
2021-05-12,49150.535156,2021,5,12,2021
2021-05-13,49716.191406,2021,5,13,2021
2021-05-14,49880.535156,2021,5,14,2021
2021-05-15,46760.1875,2021,5,15,2021
2021-05-16,46456.058594,2021,5,16,2021
2021-05-17,43537.511719,2021,5,17,2021
2021-05-18,42909.402344,2021,5,18,2021
2021-05-19,37002.441406,2021,5,19,2021
2021-05-20,40782.738281,2021,5,20,2021
2021-05-21,37304.691406,2021,5,21,2021
2021-05-22,37536.632813,2021,5,22,2021
2021-05-23,34770.582031,2021,5,23,2021
2021-05-24,38705.980469,2021,5,24,2021
2021-05-25,38402.222656,2021,5,25,2021
2021-05-26,39294.199219,2021,5,26,2021
2021-05-27,38436.96875,2021,5,27,2021
2021-05-28,35697.605469,2021,5,28,2021
2021-05-29,34616.066406,2021,5,29,2021
2021-05-30,35678.128906,2021,5,30,2021
2021-05-31,37332.855469,2021,5,31,2021
2021-06-01,36684.925781,2021,6,1,2021
2021-06-02,37575.179688,2021,6,2,2021
2021-06-03,39208.765625,2021,6,3,2021
2021-06-04,36894.40625,2021,6,4,2021
2021-06-05,35551.957031,2021,6,5,2021
2021-06-06,35862.378906,2021,6,6,2021
2021-06-07,33560.707031,2021,6,7,2021
2021-06-08,33472.632813,2021,6,8,2021
2021-06-09,37345.121094,2021,6,9,2021
2021-06-10,36702.597656,2021,6,10,2021
2021-06-11,37334.398438,2021,6,11,2021
2021-06-12,35552.515625,2021,6,12,2021
2021-06-13,39097.859375,2021,6,13,2021
2021-06-14,40218.476563,2021,6,14,2021
2021-06-15,40406.269531,2021,6,15,2021
2021-06-16,38347.0625,2021,6,16,2021
2021-06-17,38053.503906,2021,6,17,2021
2021-06-18,35787.246094,2021,6,18,2021
2021-06-19,35615.871094,2021,6,19,2021
2021-06-20,35698.296875,2021,6,20,2021
2021-06-21,31676.693359,2021,6,21,2021
2021-06-22,32505.660156,2021,6,22,2021
2021-06-23,33723.027344,2021,6,23,2021
2021-06-24,34662.4375,2021,6,24,2021
2021-06-25,31637.779297,2021,6,25,2021
2021-06-26,32186.277344,2021,6,26,2021
2021-06-27,34649.644531,2021,6,27,2021
